image_path,prompt
archive/Training/glioma_tumor/gg (399).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (135).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (544).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (123).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (333).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (15).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (137).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (211).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (234).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (679).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (326).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (743).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (377).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (533).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (353).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (747).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (572).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (738).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (439).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (607).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (222).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (149).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (141).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (406).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (310).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (455).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (20).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (128).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (84).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (695).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (534).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (563).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (491).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (396).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (702).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (263).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (790).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (456).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (367).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (545).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (12).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (178).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (411).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (300).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (488).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (219).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (803).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (628).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (817).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (793).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (632).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (664).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (758).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (761).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (157).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (296).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (814).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (676).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (466).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (731).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (176).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (473).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (35).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (327).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (674).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (807).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (224).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (616).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (31).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (801).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (179).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (402).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (112).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (158).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (363).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (526).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (421).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (358).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (202).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (775).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (373).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (589).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (692).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (757).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (756).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (728).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (246).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (238).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (737).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (404).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (14).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (393).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (277).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (594).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (298).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (633).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (140).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (469).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (113).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (61).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (177).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (1).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (765).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (155).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (195).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (347).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (313).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (464).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (73).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (772).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (65).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (210).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (670).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (50).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (153).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (580).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (583).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (501).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (568).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (53).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (740).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (482).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (214).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (409).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (312).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (710).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (133).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (557).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (25).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (280).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (562).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (499).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (484).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (7).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (43).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (739).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (587).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (696).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (350).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (736).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (351).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (792).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (426).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (337).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (487).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (184).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (220).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (265).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (356).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (620).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (522).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (250).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (675).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (467).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (185).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (795).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (732).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (71).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (192).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (384).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (667).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (554).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (669).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (619).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (625).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (169).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (789).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (110).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (518).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (427).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (241).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (303).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (338).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (257).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (283).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (634).jpg,MRI of brain with glioma tumor
